index,Song,Artist,Gender,Album,Date,URL,Profanities
112,Do the Damn Thang,FABOLOUS,M,Real Talk,, http://ohhla.com/anonymous/fabolous/realtalk/do_thang.fab.txt,"{'fuck': 2, 'sick': 1, 'nigga': 2, 'niggaz': 1, 'crack': 1, 'damn': 4, 'hoes': 1, 'bigger': 1, 'fat': 1}"
113,Holla at Somebody Real,FABOLOUS,M,Real Talk,, http://ohhla.com/anonymous/fabolous/realtalk/holla_at.fab.txt,"{'dive': 1, 'diseases': 1, 'blind': 1, 'die': 1, 'dick': 1, 'bullshit': 1}"
114,It's All  Right,FABOLOUS,M,Real Talk,, http://ohhla.com/anonymous/fabolous/realtalk/allright.fab.txt,"{'tongue': 1, 'ass': 1, 'nigga': 1, 'mad': 1, 'kill': 1, 'girls': 2, 'liquor': 1, 'pee': 1}"
115,Breathe,FABOLOUS,M,Real Talk,, http://ohhla.com/anonymous/fabolous/realtalk/breathe.fab.txt,"{'niggaz': 3, 'bitches': 3, 'blow': 1, 'dick': 1, 'attack': 1, 'fore': 1, 'fuckin': 1}"
116,Young & Sexy,FABOLOUS,M,Real Talk,, http://ohhla.com/anonymous/fabolous/realtalk/youngand.fab.txt,"{'sexy': 3, 'motherfucking': 1, 'niggaz': 1, 'pimp': 1, 'fuck': 2, 'die': 1}"
117,Round & Round,FABOLOUS,M,Real Talk,, http://ohhla.com/anonymous/fabolous/realtalk/roundand.fab.txt,"{'nigga': 1, 'niggaz': 1, 'yankee': 1, 'ass': 1, 'damn': 1, 'blow': 3}"
118,In My Hood,FABOLOUS,M,Real Talk,, http://ohhla.com/anonymous/fabolous/realtalk/inmyhood.fab.txt,"{'racist': 1, 'fucked': 1, 'fuck': 1, 'nigga': 1, 'niggaz': 2, 'laid': 1}"
119,Ghetto,FABOLOUS,M,Real Talk,, http://ohhla.com/anonymous/fabolous/realtalk/ghetto.fab.txt,"{'died': 1, 'porno': 1, 'blow': 2, 'ho': 1, 'hole': 1}"
120,Po Po,FABOLOUS,M,Real Talk,, http://ohhla.com/anonymous/fabolous/realtalk/po_po.fab.txt,"{'damn': 1, 'fucking': 2, 'ass': 1, 'gun': 1, 'pistol': 1, 'nigga': 3, 'fuckin': 2, 'shit': 4, 'fuck': 3, 'fire': 1, 'motherfuckin': 1, 'stupid': 1}"
121,"Yep, I'm Back",FABOLOUS,M,From Nothin' to Somethin',, http://ohhla.com/anonymous/fabolous/fnothing/yep_back.fab.txt,"{'attack': 1, 'funeral': 1, 'black': 2, 'negro': 1, 'spit': 1, 'joint': 2, 'blind': 1, 'fire': 1, 'shit': 1}"
122,Change Up,FABOLOUS,M,From Nothin' to Somethin',, http://ohhla.com/anonymous/fabolous/fnothing/changeup.fab.txt,"{'nigga': 1, 'niggaz': 2, 'hoes': 1, 'damn': 1}"
123,Make Me Better,FABOLOUS,M,From Nothin' to Somethin',, http://ohhla.com/anonymous/fabolous/fnothing/make_me.fab.txt,"{'burn': 4, 'fire': 1}"
124,Baby Don't Go,FABOLOUS,M,From Nothin' to Somethin',, http://ohhla.com/anonymous/fabolous/fnothing/babydont.fab.txt,"{'damn': 1, 'pot': 1, 'ass': 1}"
125,Return of the Hustle,FABOLOUS,M,From Nothin' to Somethin',, http://ohhla.com/anonymous/fabolous/fnothing/returnof.fab.txt,"{'nigga': 2, 'tongue': 1, 'fight': 1, 'death': 1, 'crack': 2, 'ass': 2}"
126,Gangsta Don't Play,FABOLOUS,M,From Nothin' to Somethin',, http://ohhla.com/anonymous/fabolous/fnothing/gangsta.fab.txt,"{'sexy': 1, 'gangsta': 2, 'murder': 1, 'shit': 2, 'bitch': 1, 'drug': 1, 'death': 1, 'marijuana': 1}"
127,Real Playa Like,FABOLOUS,M,From Nothin' to Somethin',, http://ohhla.com/anonymous/fabolous/fnothing/realplay.fab.txt,"{'black': 1, 'marijuana': 1}"
128,First Time,FABOLOUS,M,From Nothin' to Somethin',, http://ohhla.com/anonymous/fabolous/fnothing/firsttme.fab.txt,"{'butt': 1, 'naked': 1}"
129,Diamonds,FABOLOUS,M,From Nothin' to Somethin',, http://ohhla.com/anonymous/fabolous/fnothing/diamonds.fab.txt,"{'damn': 9, 'fuck': 2, 'drug': 1, 'shit': 3, 'nigga': 1, 'bitch': 1}"
